	CCI-Prev-CTraps CCI-Prev-CTraps-- CCI-Prev-CTraps-Raw CCI-Prev-CTraps--Raw
Apache	1.37	1.23          0.1707	0.1527
MySQL	1.76	1.57          0.02533	0.02262
memcached 1.30	1.36          69.458    72.46
LevelDB	1.68	1.61          17.537	16.867
GMean	1.56	1.43          1.51       1.43
""
blackscholes  1.40  1.33       211.512  202.08
dedup	2.43	1.36           72.192	40.327
canneal	2.33	2.29           228.271	225.003
x264	2.94	2.78           104.599	99.086
vips	9.37	9.49           364.499	369.352
ferret	8.25	8.32           628.835	634.051
fluidanimate	12.30	12.41  1603.163	1616.369
swaptions	18.13	15.18  1141.386	955.625
streamcluster	14.79	14.08  1959.531	1866.34
GMean	5.85	5.32   405.98   367.63
