	        Graph	Graph--    Graph Raw	Graph-- Raw
Apache-httpd	2.06	2.04      0.2559	0.25372
MySQL	        3.35	2.89      0.04813	0.04151
memcached	1.94	1.96      103.545	104.501
LevelDB	        2.94	2.64      30.794	27.634
GMean	        2.50    2.35      2.50          2.35
""	0	0                 0             0 	
blackscholes	1.29	1.25      195.295	190.1
dedup		1.95	1.76      57.926	52.444
canneal		3.31	3.22      324.635	315.821
x264		7.74	6.69      275.446	238.116
vips		22.76	18.23     885.286	709.186
ferret		13.87	13.47     1057.605	1026.536
fluidanimate	16.92	16.94     2204.834	2207.123
swaptions	19.77	18.36     1244.554	1155.684
streamcluster	47.34	36.91     6272.769	4890.606
GMean		8.74    8.03       632.94        574.42
